,p1_points/total_points ,p2_points/total_points,p1_pending_points/total_pending_points,p2_pending_points/total_pending_points
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
2,0.0,1.0,0.0,0.0
3,0.0,1.0,0.0,0.0
4,0.0,1.0,0.0,0.0
5,0.0,1.0,0.0,0.0
6,0.0,1.0,0.0,0.0
7,0.0,1.0,0.0,0.0
8,0.0,1.0,0.0,0.0
9,0.0,1.0,0.0,0.0
10,0.0,1.0,0.0,0.0
11,0.0,1.0,0.0,0.0
12,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0
14,0.0,1.0,0.0,0.0
15,0.0,1.0,0.0,0.0
16,0.46153846153846156,0.5384615384615384,0.0,0.0
17,0.46153846153846156,0.5384615384615384,0.0,0.0
18,0.7941176470588235,0.20588235294117646,0.0,0.0
19,0.7941176470588235,0.20588235294117646,0.0,0.0
20,0.6923076923076923,0.3076923076923077,0.0,0.0
21,0.6923076923076923,0.3076923076923077,0.0,0.0
22,0.7735849056603774,0.22641509433962265,0.0,0.0
23,0.7735849056603774,0.22641509433962265,0.0,0.0
24,0.6212121212121212,0.3787878787878788,0.0,0.0
25,0.6212121212121212,0.3787878787878788,0.0,0.0
26,0.6875,0.3125,0.0,0.0
27,0.6875,0.3125,0.0,0.0
28,0.7058823529411765,0.29411764705882354,0.0,0.0
29,0.7058823529411765,0.29411764705882354,0.0,0.0
30,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0
32,0.0,1.0,0.0,0.0
33,0.0,1.0,0.0,0.0
34,0.0,1.0,0.0,0.0
35,0.0,1.0,0.0,0.0
36,0.26666666666666666,0.7333333333333333,0.0,0.0
37,0.26666666666666666,0.7333333333333333,0.0,0.0
38,0.2033898305084746,0.7966101694915254,0.0,0.0
39,0.2033898305084746,0.7966101694915254,0.0,0.0
40,0.1875,0.8125,0.0,0.0
41,0.1875,0.8125,0.0,0.0
42,0.2676056338028169,0.7323943661971831,0.0,0.0
43,0.2676056338028169,0.7323943661971831,0.0,0.0
44,0.0,0.0,0.0,0.0
45,0.0,0.0,0.0,0.0
46,0.0,1.0,0.0,0.0
47,0.0,1.0,0.0,0.0
48,0.0,1.0,0.0,0.0
49,0.0,1.0,0.0,0.0
50,0.0,1.0,0.0,1.0
51,0.0,0.0,0.0,0.0
52,0.0,0.0,0.0,0.0
53,0.0,1.0,0.0,0.0
54,0.0,1.0,0.0,0.0
55,0.0,1.0,0.0,0.0
56,0.0,1.0,0.0,0.0
57,0.2765957446808511,0.723404255319149,0.0,0.0
58,0.2765957446808511,0.723404255319149,0.0,0.0
59,0.45161290322580644,0.5483870967741935,0.0,0.0
60,0.45161290322580644,0.5483870967741935,0.0,0.0
61,0.4925373134328358,0.5074626865671642,0.0,0.0
